image_path,label
synthetic_data/cats/cat_0.png,cat
synthetic_data/cats/cat_1.png,cat
synthetic_data/cats/cat_2.png,cat
synthetic_data/cats/cat_3.png,cat
synthetic_data/cats/cat_4.png,cat
synthetic_data/cats/cat_5.png,cat
synthetic_data/cats/cat_6.png,cat
synthetic_data/cats/cat_7.png,cat
synthetic_data/cats/cat_8.png,cat
synthetic_data/cats/cat_9.png,cat
synthetic_data/cats/cat_10.png,cat
synthetic_data/cats/cat_11.png,cat
synthetic_data/cats/cat_12.png,cat
synthetic_data/cats/cat_13.png,cat
synthetic_data/cats/cat_14.png,cat
synthetic_data/cats/cat_15.png,cat
synthetic_data/cats/cat_16.png,cat
synthetic_data/cats/cat_17.png,cat
synthetic_data/cats/cat_18.png,cat
synthetic_data/cats/cat_19.png,cat
synthetic_data/cats/cat_20.png,cat
synthetic_data/cats/cat_21.png,cat
synthetic_data/cats/cat_22.png,cat
synthetic_data/cats/cat_23.png,cat
synthetic_data/cats/cat_24.png,cat
synthetic_data/cats/cat_25.png,cat
synthetic_data/cats/cat_26.png,cat
synthetic_data/cats/cat_27.png,cat
synthetic_data/cats/cat_28.png,cat
synthetic_data/cats/cat_29.png,cat
synthetic_data/cats/cat_30.png,cat
synthetic_data/cats/cat_31.png,cat
synthetic_data/cats/cat_32.png,cat
synthetic_data/cats/cat_33.png,cat
synthetic_data/cats/cat_34.png,cat
synthetic_data/cats/cat_35.png,cat
synthetic_data/cats/cat_36.png,cat
synthetic_data/cats/cat_37.png,cat
synthetic_data/cats/cat_38.png,cat
synthetic_data/cats/cat_39.png,cat
synthetic_data/cats/cat_40.png,cat
synthetic_data/cats/cat_41.png,cat
synthetic_data/cats/cat_42.png,cat
synthetic_data/cats/cat_43.png,cat
synthetic_data/cats/cat_44.png,cat
synthetic_data/cats/cat_45.png,cat
synthetic_data/cats/cat_46.png,cat
synthetic_data/cats/cat_47.png,cat
synthetic_data/cats/cat_48.png,cat
synthetic_data/cats/cat_49.png,cat
synthetic_data/dogs/dog_0.png,dog
synthetic_data/dogs/dog_1.png,dog
synthetic_data/dogs/dog_2.png,dog
synthetic_data/dogs/dog_3.png,dog
synthetic_data/dogs/dog_4.png,dog
synthetic_data/dogs/dog_5.png,dog
synthetic_data/dogs/dog_6.png,dog
synthetic_data/dogs/dog_7.png,dog
synthetic_data/dogs/dog_8.png,dog
synthetic_data/dogs/dog_9.png,dog
synthetic_data/dogs/dog_10.png,dog
synthetic_data/dogs/dog_11.png,dog
synthetic_data/dogs/dog_12.png,dog
synthetic_data/dogs/dog_13.png,dog
synthetic_data/dogs/dog_14.png,dog
synthetic_data/dogs/dog_15.png,dog
synthetic_data/dogs/dog_16.png,dog
synthetic_data/dogs/dog_17.png,dog
synthetic_data/dogs/dog_18.png,dog
synthetic_data/dogs/dog_19.png,dog
synthetic_data/dogs/dog_20.png,dog
synthetic_data/dogs/dog_21.png,dog
synthetic_data/dogs/dog_22.png,dog
synthetic_data/dogs/dog_23.png,dog
synthetic_data/dogs/dog_24.png,dog
synthetic_data/dogs/dog_25.png,dog
synthetic_data/dogs/dog_26.png,dog
synthetic_data/dogs/dog_27.png,dog
synthetic_data/dogs/dog_28.png,dog
synthetic_data/dogs/dog_29.png,dog
synthetic_data/dogs/dog_30.png,dog
synthetic_data/dogs/dog_31.png,dog
synthetic_data/dogs/dog_32.png,dog
synthetic_data/dogs/dog_33.png,dog
synthetic_data/dogs/dog_34.png,dog
synthetic_data/dogs/dog_35.png,dog
synthetic_data/dogs/dog_36.png,dog
synthetic_data/dogs/dog_37.png,dog
synthetic_data/dogs/dog_38.png,dog
synthetic_data/dogs/dog_39.png,dog
synthetic_data/dogs/dog_40.png,dog
synthetic_data/dogs/dog_41.png,dog
synthetic_data/dogs/dog_42.png,dog
synthetic_data/dogs/dog_43.png,dog
synthetic_data/dogs/dog_44.png,dog
synthetic_data/dogs/dog_45.png,dog
synthetic_data/dogs/dog_46.png,dog
synthetic_data/dogs/dog_47.png,dog
synthetic_data/dogs/dog_48.png,dog
synthetic_data/dogs/dog_49.png,dog
